adcode,name_zh,level,province,reach,prefecture_zh,area_km2,county_id,ndvi_mean,n_obs,year
330381,瑞安市,district,Zhejiang,downstream,温州市,1302.5359559800822,330381,0.5447749336907053,35817,2020
330382,乐清市,district,Zhejiang,downstream,温州市,1438.5762025574156,330382,0.536357404393816,36870,2020
330383,龙港市,district,Zhejiang,downstream,温州市,157.72616371921362,330383,0.38262905081495685,4172,2020
330402,南湖区,district,Zhejiang,downstream,嘉兴市,435.80188444724547,330402,0.4172609201047806,12216,2020
330411,秀洲区,district,Zhejiang,downstream,嘉兴市,549.3896986333465,330411,0.399204890772742,15335,2020
330421,嘉善县,district,Zhejiang,downstream,嘉兴市,506.2871694046178,330421,0.3803949722656806,14062,2020
330424,海盐县,district,Zhejiang,downstream,嘉兴市,942.9784209627586,330424,0.3970594109947644,15280,2020
330481,海宁市,district,Zhejiang,downstream,嘉兴市,863.0786230775541,330481,0.39031605102817973,21008,2020
330482,平湖市,district,Zhejiang,downstream,嘉兴市,581.6237372109991,330482,0.4317803696045489,15476,2020
330483,桐乡市,district,Zhejiang,downstream,嘉兴市,727.9493581567287,330483,0.4167175332941639,20424,2020
330502,吴兴区,district,Zhejiang,downstream,湖州市,862.6984148765138,330502,0.45368952736318413,24120,2020
330503,南浔区,district,Zhejiang,downstream,湖州市,702.3973339475092,330503,0.3452759310134311,19656,2020
330521,德清县,district,Zhejiang,downstream,湖州市,939.4070902988325,330521,0.4620845667491905,26255,2020
330522,长兴县,district,Zhejiang,downstream,湖州市,1433.6922371164071,330522,0.5388534920793066,40148,2020
330523,安吉县,district,Zhejiang,downstream,湖州市,1886.0989656016957,330523,0.6220090748748295,52728,2020
330602,越城区,district,Zhejiang,downstream,绍兴市,658.5333778418017,330602,0.4142600818107444,18335,2020
330603,柯桥区,district,Zhejiang,downstream,绍兴市,1069.7839196898187,330603,0.5260684052941377,29391,2020
330604,上虞区,district,Zhejiang,downstream,绍兴市,1235.4799123314447,330604,0.5358302039601012,33585,2020
330624,新昌县,district,Zhejiang,downstream,绍兴市,1220.4103228934441,330624,0.6501905686343407,34152,2020
330681,诸暨市,district,Zhejiang,downstream,绍兴市,2313.840300093012,330681,0.5882912961590714,64776,2020
330683,嵊州市,district,Zhejiang,downstream,绍兴市,1781.626154894596,330683,0.628724909682081,49824,2020
330702,婺城区,district,Zhejiang,downstream,金华市,1389.4531093624198,330702,0.559725437512868,38856,2020
330703,金东区,district,Zhejiang,downstream,金华市,663.9525709403498,330703,0.5038833603195165,18528,2020
330723,武义县,district,Zhejiang,downstream,金华市,1580.884270243928,330723,0.5947457654723127,44208,2020
330726,浦江县,district,Zhejiang,downstream,金华市,891.7414939670243,330726,0.6012208774462625,24936,2020
330727,磐安县,district,Zhejiang,downstream,金华市,1184.9866293902126,330727,0.6716450622883405,33072,2020
330781,兰溪市,district,Zhejiang,downstream,金华市,1304.8308785072343,330781,0.5468849300087487,36576,2020
330782,义乌市,district,Zhejiang,downstream,金华市,1107.7412235881714,330782,0.5010683840523884,31152,2020
330783,东阳市,district,Zhejiang,downstream,金华市,1755.0869854682837,330783,0.5732113810221355,49152,2020
330784,永康市,district,Zhejiang,downstream,金华市,1042.0813570813693,330784,0.5181791289747807,29184,2020
330802,柯城区,district,Zhejiang,downstream,衢州市,604.230260246953,330802,0.5032081687823226,17016,2020
330803,衢江区,district,Zhejiang,downstream,衢州市,1752.2631906767328,330803,0.5952193522615536,48816,2020
330822,常山县,district,Zhejiang,downstream,衢州市,1098.3065419088914,330822,0.5988165298410218,30696,2020
330824,开化县,district,Zhejiang,downstream,衢州市,2232.164306461802,330824,0.646512655568386,62352,2020
330825,龙游县,district,Zhejiang,downstream,衢州市,1143.7202967945364,330825,0.5606715829585208,32016,2020
330881,江山市,district,Zhejiang,downstream,衢州市,2017.9097064817954,330881,0.6299914259416596,56496,2020
330902,定海区,district,Zhejiang,downstream,舟山市,612.6794068431582,330902,0.4597775071123756,16872,2020
330903,普陀区,district,Zhejiang,downstream,舟山市,499.8891374247891,330903,0.3769061189358373,12780,2020
330921,岱山县,district,Zhejiang,downstream,舟山市,347.2254640771381,330921,0.35859781414377556,8555,2020
330922,嵊泗县,district,Zhejiang,downstream,舟山市,155.16190246716923,330922,0.3095653233830845,2010,2020
331002,椒江区,district,Zhejiang,downstream,台州市,365.1461131717215,331002,0.3333480516707591,9367,2020
331003,黄岩区,district,Zhejiang,downstream,台州市,989.5836642543163,331003,0.6213036706241153,27543,2020
331004,路桥区,district,Zhejiang,downstream,台州市,360.5691860238901,331004,0.34232801651970096,8959,2020
331022,三门县,district,Zhejiang,downstream,台州市,1230.0317536353416,331022,0.5218139445494645,31740,2020
331023,天台县,district,Zhejiang,downstream,台州市,1423.229486015891,331023,0.644225165165165,39960,2020
331024,仙居县,district,Zhejiang,downstream,台州市,1999.9174418995105,331024,0.6594363115631691,56040,2020
331081,温岭市,district,Zhejiang,downstream,台州市,1097.2178491184643,331081,0.4449068638804085,28497,2020
331082,临海市,district,Zhejiang,downstream,台州市,2266.0441453174194,331082,0.6154573663475937,61428,2020
331083,玉环市,district,Zhejiang,downstream,台州市,637.9597772076177,331083,0.3764886999135198,13876,2020
331102,莲都区,district,Zhejiang,downstream,丽水市,1503.0729750549303,331102,0.6152482166571813,42168,2020
331121,青田县,district,Zhejiang,downstream,丽水市,2474.8929577491263,331121,0.6377400176015696,69312,2020
331122,缙云县,district,Zhejiang,downstream,丽水市,1498.9865951356003,331122,0.625990110125858,41952,2020
331123,遂昌县,district,Zhejiang,downstream,丽水市,2533.5870734968,331123,0.673957759009009,71040,2020
331124,松阳县,district,Zhejiang,downstream,丽水市,1402.9725718422874,331124,0.6255969687753449,39456,2020
331125,云和县,district,Zhejiang,downstream,丽水市,976.5369380411703,331125,0.6348361588771314,27216,2020
331126,庆元县,district,Zhejiang,downstream,丽水市,1895.3146670958868,331126,0.6425133559577677,53040,2020
331127,景宁畲族自治县,district,Zhejiang,downstream,丽水市,1937.0193188129406,331127,0.6542077726132509,54216,2020
331181,龙泉市,district,Zhejiang,downstream,丽水市,3035.905897286227,331181,0.6377975293841092,85080,2020
340102,瑶海区,district,Anhui,downstream,合肥市,223.20170672720963,340102,0.3566235576923078,6240,2020
340103,庐阳区,district,Anhui,downstream,合肥市,136.5931682631307,340103,0.37264375163057645,3833,2020
340104,蜀山区,district,Anhui,downstream,合肥市,649.1167506000659,340104,0.4081149296394021,18192,2020
340111,包河区,district,Anhui,downstream,合肥市,312.14459922605363,340111,0.2763299953260107,8558,2020
340121,长丰县,district,Anhui,downstream,合肥市,1836.480230493782,340121,0.4219079750535958,51310,2020
340122,肥东县,district,Anhui,downstream,合肥市,2192.9836364014495,340122,0.42107125905529885,61014,2020
340123,肥西县,district,Anhui,downstream,合肥市,1699.3253412103036,340123,0.42822453937957705,46839,2020
340124,庐江县,district,Anhui,downstream,合肥市,2354.943704031302,340124,0.4242153965047595,65346,2020
340181,巢湖市,district,Anhui,downstream,合肥市,2067.628287270922,340181,0.375402090713853,54479,2020
340202,镜湖区,district,Anhui,downstream,芜湖市,116.03217988556156,340202,0.37427818627450987,3264,2020
340207,鸠江区,district,Anhui,downstream,芜湖市,883.718969513416,340207,0.3469649155033063,24498,2020
340209,弋江区,district,Anhui,downstream,芜湖市,517.020390850441,340209,0.3777959669007718,14381,2020
340210,湾沚区,district,Anhui,downstream,芜湖市,646.5624947658132,340210,0.4631575807879593,18072,2020
340211,繁昌区,district,Anhui,downstream,芜湖市,571.239981593977,340211,0.5158350688360451,15980,2020
340223,南陵县,district,Anhui,downstream,芜湖市,1267.1969063757608,340223,0.5314068258807588,35424,2020
340281,无为市,district,Anhui,downstream,芜湖市,2007.1696977773165,340281,0.3887988954501794,56222,2020
340302,龙子湖区,district,Anhui,downstream,蚌埠市,148.61818878096656,340302,0.4015915469348659,4176,2020
340303,蚌山区,district,Anhui,downstream,蚌埠市,90.09311868635908,340303,0.3871677469135803,2592,2020
340304,禹会区,district,Anhui,downstream,蚌埠市,321.7307023965704,340304,0.4303643540939296,8879,2020
340311,淮上区,district,Anhui,downstream,蚌埠市,408.7228651581569,340311,0.47823128330566955,11447,2020
340321,怀远县,district,Anhui,downstream,蚌埠市,2213.1134277024685,340321,0.5235063203994892,61879,2020
340322,五河县,district,Anhui,downstream,蚌埠市,1423.6538095887743,340322,0.47580982779920833,39663,2020
340323,固镇县,district,Anhui,downstream,蚌埠市,1368.4982256136207,340323,0.5404203030303031,38280,2020
340402,大通区,district,Anhui,downstream,淮南市,311.33431063886013,340402,0.41438373315055965,8754,2020
340403,田家庵区,district,Anhui,downstream,淮南市,253.04907315109463,340403,0.41003820861678014,7056,2020
340404,谢家集区,district,Anhui,downstream,淮南市,270.8449165365571,340404,0.37229896189224704,7610,2020
340405,八公山区,district,Anhui,downstream,淮南市,67.22617321627088,340405,0.4115375548245614,1824,2020
340406,潘集区,district,Anhui,downstream,淮南市,600.137325877372,340406,0.47879483551256796,16749,2020
340421,凤台县,district,Anhui,downstream,淮南市,1086.4628902522823,340421,0.5022894988145417,30368,2020
340422,寿县,district,Anhui,downstream,淮南市,2944.3151717019978,340422,0.41659234208372525,81863,2020
340503,花山区,district,Anhui,downstream,马鞍山市,178.59491964325548,340503,0.4004382778000803,4982,2020
340504,雨山区,district,Anhui,downstream,马鞍山市,173.5938873576345,340504,0.4054981783919598,4776,2020
340506,博望区,district,Anhui,downstream,马鞍山市,368.764390793682,340506,0.416560756662128,10282,2020
340521,当涂县,district,Anhui,downstream,马鞍山市,977.0104895657896,340521,0.33392137885316536,27153,2020
340522,含山县,district,Anhui,downstream,马鞍山市,1034.7823481284433,340522,0.4719614073818558,28990,2020
340523,和县,district,Anhui,downstream,马鞍山市,1317.3220776669955,340523,0.42514927693813215,36788,2020
340602,杜集区,district,Anhui,downstream,淮北市,238.42258088878725,340602,0.4360482464028777,6672,2020
340603,相山区,district,Anhui,downstream,淮北市,141.60950504531596,340603,0.41600481150793667,4032,2020
340604,烈山区,district,Anhui,downstream,淮北市,388.064799743551,340604,0.4874631759259258,10800,2020
340621,濉溪县,district,Anhui,downstream,淮北市,1980.1887472028484,340621,0.5677579604409858,55512,2020
340705,铜官区,district,Anhui,downstream,铜陵市,132.41059049582833,340705,0.3675934895833334,3840,2020
340706,义安区,district,Anhui,downstream,铜陵市,806.3199450695935,340706,0.47945994229915667,22530,2020
340711,郊区,district,Anhui,downstream,铜陵市,554.8505585935297,340711,0.4023343207758793,15157,2020
340722,枞阳县,district,Anhui,downstream,铜陵市,1489.536924093972,340722,0.42581436220244545,41463,2020
340802,迎江区,district,Anhui,downstream,安庆市,206.80263007327207,340802,0.24002058567195397,5737,2020
340803,大观区,district,Anhui,downstream,安庆市,274.9118768559185,340803,0.32962317619173026,7594,2020
340811,宜秀区,district,Anhui,downstream,安庆市,419.1114616816662,340811,0.3976980489474585,11686,2020
340822,怀宁县,district,Anhui,downstream,安庆市,1258.7877715386123,340822,0.4669849924777883,35229,2020
340825,太湖县,district,Anhui,downstream,安庆市,2040.6071533173065,340825,0.5624859173489826,56914,2020
340826,宿松县,district,Anhui,downstream,安庆市,2375.7089487393228,340826,0.37007226679421135,64814,2020
340827,望江县,district,Anhui,downstream,安庆市,1320.915648775733,340827,0.41025235233047364,36602,2020
340828,岳西县,district,Anhui,downstream,安庆市,2370.1283596536623,340828,0.6005571286591979,66408,2020
340881,桐城市,district,Anhui,downstream,安庆市,1540.6908825333312,340881,0.44621838207898645,42944,2020
340882,潜山市,district,Anhui,downstream,安庆市,1687.3997755131381,340882,0.5526626381098081,47064,2020
341002,屯溪区,district,Anhui,downstream,黄山市,194.21023891329403,341002,0.5103502802690584,5352,2020
341003,黄山区,district,Anhui,downstream,黄山市,1751.6136601187734,341003,0.6041211757709973,48768,2020
341004,徽州区,district,Anhui,downstream,黄山市,426.1598773204821,341004,0.615450321146245,12144,2020
341021,歙县,district,Anhui,downstream,黄山市,2116.7268899961014,341021,0.6222017719724585,59256,2020
341022,休宁县,district,Anhui,downstream,黄山市,2114.331908053519,341022,0.6395612120904413,59088,2020
341023,黟县,district,Anhui,downstream,黄山市,856.2440508272144,341023,0.6266466174507841,23976,2020
341024,祁门县,district,Anhui,downstream,黄山市,2213.0928539518172,341024,0.6540172729618163,62016,2020
341102,琅琊区,district,Anhui,downstream,滁州市,267.94074276451096,341102,0.3950362052793783,7463,2020
341103,南谯区,district,Anhui,downstream,滁州市,1128.2847455587555,341103,0.5016740145475337,31483,2020
341122,来安县,district,Anhui,downstream,滁州市,1501.6900590454054,341122,0.46727428313924524,42163,2020
341124,全椒县,district,Anhui,downstream,滁州市,1576.180385380058,341124,0.45205767102159317,44088,2020
341125,定远县,district,Anhui,downstream,滁州市,3006.116549724147,341125,0.44046833321454854,84186,2020
