adcode,name_zh,province,reach,area_km2,karst_km2,karst_frac
340311,淮上区,Anhui,downstream,408.7228651581569,0.0,0.0
340321,怀远县,Anhui,downstream,2213.1134277024685,1.4109829677215187,0.0006375556490054478
340322,五河县,Anhui,downstream,1423.6538095887743,0.0,0.0
340323,固镇县,Anhui,downstream,1368.4982256136207,0.0,0.0
340402,大通区,Anhui,downstream,311.33431063886013,56.11536016037962,0.1802414903941378
340403,田家庵区,Anhui,downstream,253.04907315109463,0.0,0.0
340404,谢家集区,Anhui,downstream,270.8449165365571,0.0,0.0
340405,八公山区,Anhui,downstream,67.22617321627088,0.0,0.0
340406,潘集区,Anhui,downstream,600.137325877372,5.507500287745482,0.009177066731674757
340421,凤台县,Anhui,downstream,1086.4628902522823,0.0,0.0
340422,寿县,Anhui,downstream,2944.3151717019978,0.0,0.0
340503,花山区,Anhui,downstream,178.59491964325548,0.0,0.0
340504,雨山区,Anhui,downstream,173.5938873576345,0.0,0.0
340506,博望区,Anhui,downstream,368.764390793682,0.0,0.0
340521,当涂县,Anhui,downstream,977.0104895657896,0.0,0.0
340522,含山县,Anhui,downstream,1034.7823481284433,725.3418840656901,0.7009608207731587
340523,和县,Anhui,downstream,1317.3220776669955,616.82741477081,0.46824343509312777
340602,杜集区,Anhui,downstream,238.42258088878725,238.42258088878722,0.9999999999999999
340603,相山区,Anhui,downstream,141.60950504531596,51.79865249047301,0.36578513902648774
340604,烈山区,Anhui,downstream,388.064799743551,333.11841641676443,0.8584092570027032
340621,濉溪县,Anhui,downstream,1980.1887472028484,23.176200690143286,0.01170403615457428
340705,铜官区,Anhui,downstream,132.41059049582833,72.40360324239772,0.5468112706942337
340706,义安区,Anhui,downstream,806.3199450695935,568.6579510660148,0.7052510043230221
340711,郊区,Anhui,downstream,554.8505585935297,29.66021936818991,0.05345623052696299
340722,枞阳县,Anhui,downstream,1489.536924093972,0.0,0.0
340802,迎江区,Anhui,downstream,206.80263007327207,0.0,0.0
340803,大观区,Anhui,downstream,274.9118768559185,0.0,0.0
340811,宜秀区,Anhui,downstream,419.1114616816662,0.0,0.0
340822,怀宁县,Anhui,downstream,1258.7877715386123,0.0,0.0
340825,太湖县,Anhui,downstream,2040.6071533173065,0.0,0.0
340826,宿松县,Anhui,downstream,2375.7089487393228,0.0,0.0
340827,望江县,Anhui,downstream,1320.915648775733,0.0,0.0
340828,岳西县,Anhui,downstream,2370.1283596536623,0.0,0.0
340881,桐城市,Anhui,downstream,1540.6908825333312,0.0,0.0
340882,潜山市,Anhui,downstream,1687.3997755131381,0.0,0.0
341002,屯溪区,Anhui,downstream,194.21023891329403,0.5233941935833994,0.002694987640775577
341003,黄山区,Anhui,downstream,1751.6136601187734,61.99240239403639,0.03539159565005494
341004,徽州区,Anhui,downstream,426.1598773204821,93.17560558322158,0.21864002347914926
341021,歙县,Anhui,downstream,2116.7268899961014,1330.460087313838,0.6285459374101343
341022,休宁县,Anhui,downstream,2114.331908053519,455.0866367352212,0.2152389769088713
341023,黟县,Anhui,downstream,856.2440508272144,311.6009749547959,0.3639160758591657
