adcode,name_zh,level,province,reach,prefecture_zh,area_km2,county_id
331181,龙泉市,district,Zhejiang,downstream,丽水市,3035.905897286227,331181
340102,瑶海区,district,Anhui,downstream,合肥市,223.20170672720963,340102
340103,庐阳区,district,Anhui,downstream,合肥市,136.5931682631307,340103
340104,蜀山区,district,Anhui,downstream,合肥市,649.1167506000659,340104
340111,包河区,district,Anhui,downstream,合肥市,312.14459922605363,340111
340121,长丰县,district,Anhui,downstream,合肥市,1836.480230493782,340121
340122,肥东县,district,Anhui,downstream,合肥市,2192.9836364014495,340122
340123,肥西县,district,Anhui,downstream,合肥市,1699.3253412103036,340123
340124,庐江县,district,Anhui,downstream,合肥市,2354.943704031302,340124
340181,巢湖市,district,Anhui,downstream,合肥市,2067.628287270922,340181
340202,镜湖区,district,Anhui,downstream,芜湖市,116.03217988556156,340202
340207,鸠江区,district,Anhui,downstream,芜湖市,883.718969513416,340207
340209,弋江区,district,Anhui,downstream,芜湖市,517.020390850441,340209
340210,湾沚区,district,Anhui,downstream,芜湖市,646.5624947658132,340210
340211,繁昌区,district,Anhui,downstream,芜湖市,571.239981593977,340211
340223,南陵县,district,Anhui,downstream,芜湖市,1267.1969063757608,340223
340281,无为市,district,Anhui,downstream,芜湖市,2007.1696977773165,340281
340302,龙子湖区,district,Anhui,downstream,蚌埠市,148.61818878096656,340302
340303,蚌山区,district,Anhui,downstream,蚌埠市,90.09311868635908,340303
340304,禹会区,district,Anhui,downstream,蚌埠市,321.7307023965704,340304
340311,淮上区,district,Anhui,downstream,蚌埠市,408.7228651581569,340311
340321,怀远县,district,Anhui,downstream,蚌埠市,2213.1134277024685,340321
340322,五河县,district,Anhui,downstream,蚌埠市,1423.6538095887743,340322
340323,固镇县,district,Anhui,downstream,蚌埠市,1368.4982256136207,340323
340402,大通区,district,Anhui,downstream,淮南市,311.33431063886013,340402
340403,田家庵区,district,Anhui,downstream,淮南市,253.04907315109463,340403
340404,谢家集区,district,Anhui,downstream,淮南市,270.8449165365571,340404
340405,八公山区,district,Anhui,downstream,淮南市,67.22617321627088,340405
340406,潘集区,district,Anhui,downstream,淮南市,600.137325877372,340406
340421,凤台县,district,Anhui,downstream,淮南市,1086.4628902522823,340421
340422,寿县,district,Anhui,downstream,淮南市,2944.3151717019978,340422
340503,花山区,district,Anhui,downstream,马鞍山市,178.59491964325548,340503
340504,雨山区,district,Anhui,downstream,马鞍山市,173.5938873576345,340504
340506,博望区,district,Anhui,downstream,马鞍山市,368.764390793682,340506
340521,当涂县,district,Anhui,downstream,马鞍山市,977.0104895657896,340521
340522,含山县,district,Anhui,downstream,马鞍山市,1034.7823481284433,340522
340523,和县,district,Anhui,downstream,马鞍山市,1317.3220776669955,340523
340602,杜集区,district,Anhui,downstream,淮北市,238.42258088878725,340602
340603,相山区,district,Anhui,downstream,淮北市,141.60950504531596,340603
340604,烈山区,district,Anhui,downstream,淮北市,388.064799743551,340604
340621,濉溪县,district,Anhui,downstream,淮北市,1980.1887472028484,340621
340705,铜官区,district,Anhui,downstream,铜陵市,132.41059049582833,340705
340706,义安区,district,Anhui,downstream,铜陵市,806.3199450695935,340706
340711,郊区,district,Anhui,downstream,铜陵市,554.8505585935297,340711
340722,枞阳县,district,Anhui,downstream,铜陵市,1489.536924093972,340722
340802,迎江区,district,Anhui,downstream,安庆市,206.80263007327207,340802
340803,大观区,district,Anhui,downstream,安庆市,274.9118768559185,340803
340811,宜秀区,district,Anhui,downstream,安庆市,419.1114616816662,340811
340822,怀宁县,district,Anhui,downstream,安庆市,1258.7877715386123,340822
340825,太湖县,district,Anhui,downstream,安庆市,2040.6071533173065,340825
340826,宿松县,district,Anhui,downstream,安庆市,2375.7089487393228,340826
340827,望江县,district,Anhui,downstream,安庆市,1320.915648775733,340827
340828,岳西县,district,Anhui,downstream,安庆市,2370.1283596536623,340828
340881,桐城市,district,Anhui,downstream,安庆市,1540.6908825333312,340881
340882,潜山市,district,Anhui,downstream,安庆市,1687.3997755131381,340882
341002,屯溪区,district,Anhui,downstream,黄山市,194.21023891329403,341002
341003,黄山区,district,Anhui,downstream,黄山市,1751.6136601187734,341003
341004,徽州区,district,Anhui,downstream,黄山市,426.1598773204821,341004
341021,歙县,district,Anhui,downstream,黄山市,2116.7268899961014,341021
341022,休宁县,district,Anhui,downstream,黄山市,2114.331908053519,341022
341023,黟县,district,Anhui,downstream,黄山市,856.2440508272144,341023
341024,祁门县,district,Anhui,downstream,黄山市,2213.0928539518172,341024
341102,琅琊区,district,Anhui,downstream,滁州市,267.94074276451096,341102
341103,南谯区,district,Anhui,downstream,滁州市,1128.2847455587555,341103
341122,来安县,district,Anhui,downstream,滁州市,1501.6900590454054,341122
341124,全椒县,district,Anhui,downstream,滁州市,1576.180385380058,341124
341125,定远县,district,Anhui,downstream,滁州市,3006.116549724147,341125
341126,凤阳县,district,Anhui,downstream,滁州市,1921.9878710716212,341126
